GEO_CODE,Total_households,Households_with_at_least_one_vars_or_vans,Per_cent_of_households_with_at_least_one_car_or_van
E02000001,4385,1342,0.30604333
E02000002,2713,1693,0.624032436
E02000003,3834,2638,0.688054251
E02000004,2318,1762,0.76013805
E02000005,3183,2103,0.660697455
E02000007,3441,1945,0.565242662
E02000008,4591,2815,0.613156175
E02000009,3212,2020,0.628891656
E02000010,3292,2011,0.610874848
E02000011,2289,1621,0.708169506
E02000012,3258,2385,0.732044199
E02000013,3125,1968,0.62976
E02000014,3531,2112,0.598130841
E02000015,3170,1636,0.516088328
E02000016,2934,1057,0.360259032
E02000017,2729,1645,0.602784903
E02000018,3326,1905,0.572760072
E02000019,3010,1991,0.661461794
E02000020,3460,1966,0.568208092
E02000021,2949,1843,0.624957613
E02000022,3261,1387,0.425329653
E02000023,2431,1260,0.518305224
E02000024,4110,3286,0.799513382
E02000025,3622,2668,0.736609608
E02000026,2496,2097,0.840144231
E02000027,3705,2619,0.706882591
E02000028,2473,1999,0.808329964
E02000029,3513,2591,0.737546257
E02000030,3410,2931,0.859530792
E02000031,2817,2206,0.783102591
E02000032,2742,2386,0.870167761
E02000033,3317,2510,0.756707869
E02000034,3403,2516,0.739347634
E02000035,3381,2411,0.713102632
E02000036,3942,3099,0.786149163
E02000037,3397,2673,0.786870768
E02000038,4049,3056,0.75475426
E02000039,2485,2077,0.835814889
E02000040,2649,2011,0.759154398
E02000041,3120,2242,0.718589744
E02000042,4421,2831,0.640352861
E02000043,2693,2244,0.833271444
E02000044,2862,1944,0.679245283
E02000045,4168,2718,0.652111324
E02000046,2860,1896,0.662937063
E02000047,4036,2367,0.586471754
E02000048,3784,3116,0.82346723
E02000049,3028,1665,0.5498679
E02000050,3853,2605,0.676096548
E02000051,3537,2523,0.71331637
E02000052,4163,2576,0.61878453
E02000053,3244,2076,0.639950678
E02000054,2774,2030,0.731795242
E02000055,4179,2607,0.623833453
E02000056,3390,2803,0.826843658
E02000057,2460,1764,0.717073171
E02000058,3961,2851,0.719767735
E02000059,3990,2436,0.610526316
E02000060,3400,2236,0.657647059
E02000061,3172,2011,0.633984868
E02000062,2357,1261,0.535002121
E02000063,2503,1649,0.658809429
E02000064,2450,1305,0.532653061
E02000065,2728,1739,0.637463343
E02000066,3795,2162,0.56969697
E02000067,3580,2455,0.68575419
E02000068,3041,1943,0.638934561
E02000069,2495,1871,0.7498998
E02000070,3177,2532,0.796978281
E02000071,2782,2193,0.788281812
E02000072,4722,2869,0.607581533
E02000073,3968,3339,0.841481855
E02000074,3185,2185,0.686028257
E02000075,3172,2628,0.828499369
E02000077,2870,2307,0.803832753
E02000078,3036,2574,0.847826087
E02000079,3267,2443,0.747780839
E02000080,3702,2840,0.76715289
E02000081,3106,2375,0.764649066
E02000082,3356,2866,0.853992849
E02000083,3985,3062,0.76838143
E02000084,4209,3560,0.845806605
E02000085,3084,2578,0.835927367
