MSOA,White%,Mixed%,Asian%,Black%,Other%
E02002559,0.9742,0.0102,0.0116,0.0027,0.0012
E02002560,0.9788,0.0088,0.0088,0.0025,0.001
E02002561,0.9761,0.0098,0.0127,0.001,0.0003
E02002562,0.9618,0.0175,0.0153,0.0041,0.0013
E02002563,0.976,0.0112,0.0081,0.0037,0.0011
E02002564,0.9823,0.0064,0.0084,0.0014,0.0015
E02002565,0.9655,0.0099,0.0174,0.0017,0.0055
E02002566,0.8761,0.0139,0.0958,0.0094,0.0048
E02002567,0.9589,0.0134,0.0179,0.0058,0.004
E02002568,0.969,0.013,0.0134,0.0015,0.003
E02002569,0.9653,0.0073,0.0217,0.0021,0.0037
E02002570,0.9483,0.0103,0.0352,0.0037,0.0026
E02002571,0.9665,0.0115,0.013,0.0072,0.0017
E02002572,0.9556,0.0174,0.0211,0.0036,0.0022
E02002573,0.9782,0.0071,0.0106,0.0012,0.0029
E02004290,0.9848,0.004,0.0105,0.0002,0.0005
E02004291,0.9903,0.0031,0.0059,0.0004,0.0003
E02004292,0.9798,0.0076,0.0119,0.0004,0.0004
E02004293,0.9848,0.005,0.0081,0.0012,0.001
E02004294,0.9834,0.0053,0.0086,0.0015,0.0012
E02004295,0.9861,0.0077,0.0058,0.0001,0.0003
E02004296,0.9834,0.0052,0.0092,0.0009,0.0012
E02004297,0.9899,0.0042,0.0044,0.0004,0.0011
E02004298,0.9879,0.0054,0.0047,0.001,0.0009
E02004299,0.9887,0.0032,0.0065,0.0005,0.0012
E02004300,0.9906,0.0033,0.0043,0.001,0.0008
E02004301,0.9902,0.0033,0.0052,0.0009,0.0004
E02004302,0.9858,0.0043,0.0071,0.0015,0.0013
E02004303,0.9863,0.0064,0.0065,0.0005,0.0003
E02004304,0.9873,0.0043,0.0078,0.0002,0.0004
E02004305,0.9905,0.0046,0.0039,0.0005,0.0005
E02004306,0.9864,0.0059,0.0054,0.0017,0.0007
E02004307,0.9918,0.0037,0.0029,0.0014,0.0003
E02004308,0.9524,0.0136,0.0234,0.0049,0.0058
E02004309,0.9363,0.0142,0.0374,0.0047,0.0073
E02004310,0.9853,0.0038,0.0082,0.0004,0.0024
E02004311,0.9875,0.0034,0.0069,0.0015,0.0007
E02004312,0.9812,0.0056,0.0097,0.0026,0.0009
E02004313,0.9385,0.0124,0.0346,0.0049,0.0096
E02004314,0.8856,0.0238,0.0723,0.008,0.0102
E02004315,0.9259,0.017,0.0391,0.0068,0.0113
E02004316,0.9894,0.0037,0.0051,0.0018,0
E02004317,0.9829,0.0072,0.005,0.0022,0.0027
E02004318,0.9566,0.0079,0.0284,0.0008,0.0064
E02004319,0.9872,0.0039,0.0075,0.0003,0.0012
E02004320,0.9893,0.0031,0.0065,0.0002,0.0009
E02004321,0.9814,0.0047,0.0099,0.0014,0.0025
E02004322,0.9873,0.0057,0.0049,0.0008,0.0013
E02004323,0.9871,0.0052,0.0062,0.0004,0.0011
E02004324,0.9916,0.004,0.0035,0.0003,0.0005
E02004325,0.9884,0.006,0.0042,0.0011,0.0002
E02004326,0.985,0.0042,0.0087,0.0006,0.0015
E02004327,0.984,0.0056,0.0097,0.0005,0.0002
E02004328,0.9911,0.0044,0.0035,0.0003,0.0007
E02004329,0.9849,0.0047,0.0092,0.0009,0.0003
E02004330,0.9896,0.0044,0.0042,0.0008,0.001
E02004331,0.985,0.0066,0.0066,0.0013,0.0004
E02004332,0.9853,0.0051,0.0078,0.0008,0.001
E02004333,0.9898,0.004,0.0049,0.0001,0.0011
E02004334,0.9906,0.0053,0.0033,0.0007,0.0001
E02004335,0.9841,0.0045,0.0076,0.0027,0.0011
E02004336,0.9892,0.0042,0.0047,0.0017,0.0001
E02004337,0.9899,0.0038,0.0041,0.0012,0.001
E02004338,0.992,0.0052,0.0012,0.0004,0.0012
E02004339,0.9879,0.0064,0.0025,0.0016,0.0016
E02004340,0.9904,0.0049,0.0033,0.0011,0.0004
E02004341,0.9836,0.0057,0.0091,0.0007,0.0008
E02004342,0.9849,0.0067,0.0047,0.002,0.0017
E02004343,0.9938,0.0038,0.0016,0.0005,0.0002
E02004344,0.9882,0.0064,0.0037,0.0013,0.0004
E02004345,0.9922,0.0041,0.0027,0.0007,0.0003
E02004346,0.9916,0.0053,0.0017,0.0002,0.0011
E02004347,0.9786,0.0081,0.0098,0.0018,0.0017
E02004348,0.9896,0.0047,0.0047,0.0007,0.0002
E02004349,0.9891,0.0054,0.0044,0.0008,0.0003
E02004350,0.9898,0.0044,0.0044,0.0008,0.0006
E02004351,0.9906,0.0043,0.0043,0.0004,0.0004
E02004352,0.9803,0.0077,0.0104,0.0005,0.0011
E02004353,0.9844,0.0056,0.0074,0.0019,0.0008
E02004354,0.9868,0.0061,0.0063,0.0008,0.0001
E02004355,0.9886,0.0047,0.0039,0.0007,0.0022
E02002483,0.9849,0.0051,0.0092,0.0004,0.0003
E02002484,0.9818,0.0071,0.0086,0.0019,0.0006
E02002485,0.9819,0.0043,0.0108,0.0023,0.0006
E02002487,0.9406,0.009,0.0414,0.0058,0.0032
E02002488,0.9769,0.0064,0.0149,0.001,0.0008
E02002489,0.9377,0.0092,0.0438,0.0067,0.0026
E02002490,0.9875,0.0038,0.0056,0.001,0.0021
E02002491,0.9867,0.0049,0.007,0.0005,0.0009
E02002492,0.988,0.0039,0.0067,0.0001,0.0012
E02002493,0.9893,0.0053,0.0036,0.0009,0.0009
E02002494,0.9836,0.0081,0.0076,0.0004,0.0003
E02006909,0.9773,0.005,0.0151,0.0016,0.0011
E02002496,0.5627,0.029,0.3219,0.0392,0.0472
E02002497,0.9236,0.0201,0.0391,0.0136,0.0037
E02002498,0.7175,0.0302,0.1695,0.052,0.0309
E02002499,0.9697,0.0138,0.0065,0.0089,0.0011
E02002500,0.8086,0.0243,0.1453,0.009,0.0128
E02002501,0.9027,0.0174,0.0632,0.0077,0.009
E02002502,0.9662,0.0127,0.0083,0.0112,0.0016
