MSOA Code,pop0-49,pop50-59,pop60-69,pop70-79,pop80-89,pop90+,total_pop
E02002483,6549,1378,1025,825,436,48,10261
E02002484,6461,1465,1209,811,396,107,10449
E02002485,5189,1123,828,697,319,29,8185
E02002487,3583,725,507,295,150,17,5277
E02002488,3182,959,818,551,278,60,5848
E02002489,4938,990,849,523,342,88,7730
E02002490,3921,945,728,414,180,26,6214
E02002491,3842,898,724,530,388,72,6454
E02002492,3960,997,860,608,377,85,6887
E02002493,3544,1031,952,723,381,71,6702
E02002494,5037,1024,815,500,288,86,7750
E02006909,5725,2065,1786,1543,646,141,11906
E02002496,11124,855,699,359,185,30,13252
E02002497,4104,728,588,351,157,16,5944
E02002498,7754,827,578,343,135,27,9664
E02002499,5084,898,743,382,241,58,7406
E02002500,4057,711,602,346,163,40,5919
E02002501,3725,777,560,328,144,28,5562
E02002502,5748,1345,1087,655,335,51,9221
E02002503,4677,824,653,350,195,34,6733
E02002504,6602,1267,935,627,303,54,9788
E02002505,4208,763,620,293,188,32,6104
E02002506,3818,727,493,385,235,28,5686
E02002507,3579,885,600,601,288,39,5992
E02002508,2757,693,646,547,367,57,5067
E02002509,3217,753,719,378,290,38,5395
E02002510,3090,777,847,820,335,59,5928
E02002512,2697,866,704,648,336,47,5298
E02002513,5506,1158,1248,834,423,92,9261
E02002514,4727,1406,1139,745,426,85,8528
E02006811,5613,1429,1299,1194,587,110,10232
E02002515,4184,1051,730,530,308,100,6903
E02002516,3528,860,650,503,263,49,5853
E02002517,3179,787,585,485,272,36,5344
E02002518,5908,1811,1439,1065,511,103,10837
E02002519,4264,941,937,810,420,83,7455
E02002520,6629,1958,1694,1744,821,100,12946
E02002521,2880,961,867,843,433,128,6112
E02002523,4877,724,560,323,117,22,6623
E02002524,3144,775,674,649,223,41,5506
E02002525,4374,1329,1119,854,454,82,8212
E02002526,4499,1143,1043,743,258,49,7735
E02002527,3094,709,573,484,159,59,5078
E02002529,3241,953,777,617,249,42,5879
E02002530,3285,992,866,816,338,35,6332
E02002532,3783,970,810,655,342,95,6655
E02002533,3266,876,922,742,362,71,6239
E02002534,2547,824,863,967,407,85,5693
E02006812,4124,1096,990,824,444,70,7548
E02006910,5964,1549,1211,929,476,71,10200
E02002535,4959,1636,1385,870,416,70,9336
E02002536,5688,1416,1132,891,540,104,9771
E02002537,5578,1251,836,545,386,45,8641
E02002538,3469,814,697,523,236,41,5780
E02002539,4875,1639,1338,1070,436,56,9414
E02002540,2890,856,948,845,425,71,6035
E02002541,3569,909,753,573,298,44,6146
E02002542,5382,1131,845,561,262,61,8242
E02002543,6179,1186,845,498,304,53,9065
E02002544,5863,1113,843,539,296,40,8694
E02002545,2602,772,788,660,318,51,5191
E02002546,4981,1058,713,454,244,53,7503
E02002547,2932,951,928,855,449,78,6193
E02002548,10222,1591,1074,615,269,72,13843
E02002549,3595,1092,1043,1036,526,104,7396
E02002550,3493,989,740,570,320,72,6184
E02002551,5352,695,541,318,185,62,7153
E02002552,4777,931,814,457,219,48,7246
E02002553,3668,726,677,527,303,48,5949
E02002554,3062,693,674,550,266,35,5280
E02002555,5808,1404,1245,1054,519,101,10131
E02002556,3963,1181,1047,580,184,24,6979
E02002557,12223,2348,1056,520,176,62,16385
E02002558,5907,1536,1530,1169,553,96,10791
E02002559,5263,1440,1155,928,324,47,9157
E02002560,3650,927,669,565,248,28,6087
E02002561,2693,827,893,597,250,45,5305
E02002562,3506,906,633,476,268,51,5840
E02002563,2834,765,799,573,362,113,5446
E02002564,5986,1396,1023,827,420,77,9729
E02002565,3183,740,581,366,181,23,5074
E02002566,4805,931,572,392,208,34,6942
E02002567,5690,1031,881,712,358,53,8725
E02002568,3130,958,764,650,387,111,6000
E02002569,3994,1356,1298,1295,868,203,9014
E02002570,4830,1004,864,617,353,103,7771
E02002571,4246,858,614,480,269,40,6507
E02002572,4348,882,577,421,165,20,6413
E02002573,4777,1308,1142,1012,438,116,8793
E02002574,5182,1269,925,845,370,50,8641
E02002575,5796,1616,1272,736,289,43,9752
E02002576,4266,1021,964,666,362,62,7341
E02002577,4834,971,841,594,316,75,7631
E02002578,5179,1243,959,623,358,39,8401
E02002579,5005,1130,873,598,287,45,7938
E02002580,5561,1006,760,448,232,39,8046
E02002581,4017,1021,1026,828,375,55,7322
E02002582,5190,1559,1126,621,232,58,8786
E02002583,5005,886,846,645,184,33,7599
E02002584,4530,1018,832,633,322,68,7403
E02002585,6747,1468,1162,788,349,66,10580
E02002586,6672,1267,965,758,315,49,10026
E02002587,4169,768,923,531,122,19,6532
E02002588,4432,847,1038,707,192,36,7252
E02002589,3025,777,1120,893,301,44,6160
E02002590,4016,1270,835,740,382,67,7310
E02002591,3304,1076,834,749,406,82,6451
E02002592,3378,1024,660,814,405,63,6344
E02002593,2694,704,785,561,188,27,4959
E02002594,3207,841,715,409,111,19,5302
E02002595,5814,1167,685,418,196,42,8322
E02002596,4204,1162,1273,1000,327,47,8013
