MSOA_code,under_70,over70-74,over75-79,over80,total
E02002796,1083,424,347,450,2304
E02002797,1141,516,463,854,2974
E02002798,1740,503,307,369,2919
E02002799,981,203,156,233,1573
E02002800,1091,372,293,516,2272
E02002801,1241,389,303,463,2396
E02002802,1253,237,179,249,1918
E02002803,1032,204,143,180,1559
E02002804,1588,350,234,408,2580
E02002805,972,435,384,495,2286
E02002806,821,145,80,116,1162
E02002807,1399,494,338,439,2670
E02002808,1524,199,141,213,2077
E02002809,1138,346,311,459,2254
E02002810,1771,544,391,621,3327
E02002811,932,143,103,182,1360
E02002812,1551,331,252,443,2577
E02002813,980,161,118,264,1523
E02002814,1515,537,365,630,3047
E02002815,705,118,98,190,1111
E02002816,1720,390,257,306,2673
E02002817,1130,347,252,391,2120
E02002818,959,208,154,298,1619
E02002819,1144,330,237,328,2039
E02002820,1442,323,226,265,2256
E02002821,1430,263,176,294,2163
E02002822,1090,284,225,410,2009
E02002823,1266,410,374,438,2488
E02002824,1418,390,269,271,2348
E02002825,1363,468,322,504,2657
E02002826,1125,291,187,281,1884
E02002827,857,202,141,135,1335
E02002828,1366,387,257,349,2359
E02002829,1288,317,170,326,2101
E02002830,1462,321,162,178,2123
E02002831,1038,291,187,308,1824
E02002832,1268,396,245,397,2306
E02002833,1081,288,169,225,1763
E02002834,1393,427,293,410,2523
E02002835,2063,361,227,322,2973
E02002836,1296,384,226,358,2264
E02002837,762,157,115,144,1178
E02002838,997,275,180,214,1666
E02002839,1214,303,232,324,2073
E02002842,671,131,65,86,953
E02002843,1048,298,174,210,1730
E02002844,958,233,155,210,1556
E02002845,1261,308,188,299,2056
E02002846,1205,341,234,337,2117
E02002847,1111,246,174,257,1788
E02002848,1065,248,146,193,1652
E02002849,1194,200,145,250,1789
E02002851,1391,395,299,536,2621
E02002852,1072,197,109,135,1513
E02002853,1713,331,231,337,2612
E02002854,1169,194,169,280,1812
E02002855,993,189,132,170,1484
E02002856,1780,333,254,429,2796
E02002857,927,161,110,134,1332
E02002858,1325,368,260,440,2393
E02002860,1355,408,272,437,2472
E02002861,1060,207,127,192,1586
E02002862,1292,300,181,329,2102
E02006815,1516,364,246,466,2592
E02006817,1234,229,186,302,1951
E02006819,1058,242,147,204,1651
E02006850,1142,69,59,74,1344
E02006851,673,48,19,26,766
E02002863,700,486,360,381,1927
E02002864,835,493,424,558,2310
E02002865,760,563,452,706,2481
E02002866,711,604,371,555,2241
E02002867,814,576,454,630,2474
E02002868,929,384,311,349,1973
E02002869,964,283,175,263,1685
E02002871,1155,345,268,407,2175
E02002872,1104,368,260,223,1955
E02002873,1201,213,135,268,1817
E02002874,1119,262,201,300,1882
E02002875,1006,217,172,225,1620
E02002876,911,267,232,279,1689
E02002877,1208,340,228,309,2085
E02002878,917,146,110,109,1282
E02002879,1134,212,167,185,1698
E02002880,925,188,111,135,1359
E02002881,889,197,145,221,1452
E02002882,1061,270,143,281,1755
E02002883,906,228,148,177,1459
E02002884,536,93,70,126,825
E02002885,475,93,68,74,710
E02002886,1030,288,252,365,1935
E02002887,921,329,267,371,1888
E02002888,716,181,114,173,1184
E02002889,469,70,33,55,627
E02002890,588,170,125,144,1027
E02002891,917,311,214,324,1766
E02002892,825,235,156,249,1465
E02002893,1001,117,78,113,1309
E02002894,1169,324,218,387,2098
E02002895,893,162,104,117,1276
E02002896,743,197,122,146,1208
E02002897,1186,436,326,598,2546
E02002898,1249,102,73,129,1553
E02002899,1187,167,137,192,1683
E02002901,1086,270,211,403,1970
E02002902,1095,274,194,382,1945
E02002903,846,273,189,443,1751
E02002904,875,209,140,294,1518
E02006834,976,289,216,403,1884
E02006904,636,91,57,59,843
E02006905,776,175,124,173,1248
E02004029,1130,357,246,342,2075
E02004030,896,509,368,422,2195
E02004031,973,350,237,259,1819
E02004032,1263,649,465,494,2871
E02004033,1217,496,359,456,2528
E02004034,951,570,457,435,2413
E02004035,921,488,410,444,2263
E02004036,1317,662,466,500,2945
E02004037,1109,476,338,470,2393
E02004038,1028,509,343,469,2349
E02004039,1121,469,344,390,2324
E02004040,1263,494,340,369,2466
E02004041,975,390,302,311,1978
E02004043,1107,475,354,404,2340
E02004044,1267,552,426,667,2912
E02006827,977,393,276,368,2014
E02004045,1601,615,455,486,3157
E02004046,1026,412,304,366,2108
E02004047,794,290,248,258,1590
E02004048,911,343,234,303,1791
E02004049,1172,525,399,504,2600
E02004050,971,272,295,352,1890
E02004051,1448,470,395,384,2697
E02004052,1433,436,366,389,2624
E02004053,1223,353,289,300,2165
E02004054,1524,458,365,451,2798
E02004055,1124,384,313,410,2231
E02004056,1309,334,248,315,2206
E02004057,1410,307,207,220,2144
E02004058,1174,377,315,393,2259
E02004059,1416,454,375,477,2722
E02004060,1355,481,347,422,2605
E02004061,1223,367,305,452,2347
E02004062,1365,537,324,413,2639
E02004063,1342,511,422,576,2851
E02004064,1364,309,188,320,2181
E02004065,1590,667,520,658,3435
E02004066,2033,663,476,649,3821
E02004067,1004,318,234,300,1856
E02004068,866,545,402,549,2362
E02004069,779,572,452,556,2359
E02004070,655,502,391,575,2123
E02004071,517,388,288,370,1563
E02004072,1085,731,569,737,3122
E02004073,1108,662,491,577,2838
E02004074,1052,445,314,380,2191
E02004075,1196,575,446,451,2668
E02004076,1191,399,316,482,2388
E02004077,1345,516,405,482,2748
E02004078,837,398,249,326,1810
E02004080,1220,424,312,483,2439
E02004081,969,412,298,383,2062
E02004082,996,454,334,483,2267
E02004083,982,355,318,305,1960
E02004084,768,294,267,377,1706
E02004085,1202,487,385,592,2666
E02004086,1175,433,394,490,2492
E02004087,1051,353,240,363,2007
E02004088,1107,490,355,430,2382
E02004089,701,231,177,236,1345
E02004090,1025,406,295,409,2135
E02004091,1223,517,388,452,2580
E02004092,1179,487,434,499,2599
E02006828,955,378,223,235,1791
E02004093,931,325,202,226,1684
E02004094,915,337,237,270,1759
E02004095,1426,540,353,435,2754
E02004096,1522,639,500,501,3162
E02004097,996,493,351,322,2162
E02004098,1089,476,312,352,2229
E02004100,1146,511,392,461,2510
E02004102,908,478,365,616,2367
E02004103,867,284,232,307,1690
E02004104,939,430,326,387,2082
E02006872,1725,857,649,782,4013
E02004105,1628,596,347,395,2966
E02004106,1043,591,468,587,2689
E02004108,1170,408,390,549,2517
E02004109,1124,603,502,601,2830
E02004110,1319,499,472,521,2811
E02004111,1047,376,292,356,2071
E02004112,1065,587,473,583,2708
E02004113,1488,460,364,435,2747
E02004114,1201,585,512,607,2905
E02004115,1488,521,416,448,2873
E02004116,1220,448,378,429,2475
E02004117,1142,510,389,451,2492
E02006804,1018,399,313,450,2180
E02004118,1488,369,254,345,2456
E02004119,2144,471,373,457,3445
E02004120,1891,511,323,338,3063
E02004121,1562,445,376,475,2858
E02004122,1160,431,326,347,2264
E02004123,1066,407,304,457,2234
E02004124,1153,421,315,385,2274
E02004125,1335,504,358,376,2573
E02004126,1165,464,301,376,2306
E02004128,1623,720,543,580,3466
E02006919,1379,365,228,245,2217
E02006920,1101,310,195,208,1814
E02005334,965,223,208,289,1685
E02005335,1180,437,366,653,2636
E02005336,938,210,158,237,1543
E02005337,1395,455,357,550,2757
E02005338,1559,545,357,545,3006
E02005339,1290,500,342,382,2514
E02005340,1408,493,471,565,2937
E02005341,1051,360,226,308,1945
E02005342,1089,475,366,393,2323
E02005343,1342,537,386,433,2698
E02005344,1248,562,436,489,2735
E02006820,1853,710,462,731,3756
E02005345,813,385,256,249,1703
E02005346,1127,308,209,338,1982
E02005347,726,245,165,299,1435
E02005348,658,445,330,341,1774
E02005349,927,447,360,391,2125
E02005350,883,407,274,368,1932
E02005351,622,236,209,259,1326
E02005352,1012,383,277,337,2009
E02005353,1086,388,288,364,2126
E02005354,1212,515,434,703,2864
E02005355,1241,457,335,381,2414
E02005356,987,480,328,457,2252
E02005357,1302,350,240,309,2201
E02005358,1677,517,434,579,3207
E02005359,1196,484,340,416,2436
E02005360,1096,471,329,451,2347
E02005361,1094,330,241,324,1989
E02005362,1052,416,299,378,2145
E02005363,1331,471,349,630,2781
E02005364,800,219,196,285,1500
E02005365,1553,510,414,528,3005
E02005366,1059,453,355,410,2277
E02005368,888,420,315,378,2001
E02005369,2110,707,547,722,4086
E02005370,1482,516,298,360,2656
E02005371,1691,650,473,542,3356
E02005372,1346,629,470,534,2979
E02005373,1786,745,559,615,3705
E02005374,924,320,282,496,2022
E02005375,1350,516,413,633,2912
E02005376,1293,613,521,606,3033
E02006816,1410,451,350,568,2779
E02005377,1413,602,439,542,2996
E02005378,906,285,235,314,1740
E02005379,958,416,285,365,2024
E02005380,1154,668,473,546,2841
E02005381,1293,626,505,541,2965
E02005382,1815,597,432,548,3392
E02005383,1450,550,382,428,2810
E02005384,950,411,353,436,2150
E02005385,1010,480,310,412,2212
E02005386,1165,400,306,439,2310
E02005387,1320,480,354,299,2453
E02005388,789,316,206,286,1597
E02005389,804,375,319,536,2034
E02005390,1475,703,475,562,3215
E02005391,1394,696,499,594,3183
E02005392,1198,563,438,575,2774
E02005393,1102,497,321,411,2331
E02005394,1177,526,367,467,2537
E02005395,1172,509,400,520,2601
E02005396,934,513,363,445,2255
E02005397,1285,535,404,429,2653
E02005398,853,389,275,341,1858
E02005399,907,463,280,317,1967
E02005400,847,449,319,346,1961
E02005401,918,403,297,296,1914
E02005402,875,480,333,451,2139
E02005403,924,393,356,408,2081
E02005404,1197,467,307,373,2344
E02005405,1021,467,307,394,2189
E02005406,965,252,204,294,1715
E02005407,1352,437,318,355,2462
E02005408,1109,421,345,329,2204
E02005409,1387,623,449,496,2955
E02005412,1328,452,374,757,2911
E02005414,1122,386,282,587,2377
E02005415,1069,329,309,461,2168
E02005416,1399,686,503,577,3165
E02006818,1174,397,366,632,2569
E02006911,2956,664,466,780,4866
E02005417,1261,521,416,510,2708
E02005418,1018,347,232,380,1977
E02005419,1050,230,195,284,1759
E02005420,1270,405,302,459,2436
E02005422,918,467,349,400,2134
E02005423,1499,600,453,639,3191
E02006864,1512,530,394,580,3016
E02006865,1285,492,400,550,2727
E02005424,1179,862,648,681,3370
E02005425,748,554,420,436,2158
E02005426,1163,600,506,687,2956
E02005427,853,470,364,484,2171
E02005428,1120,739,617,644,3120
E02005429,842,805,645,688,2980
E02005430,867,584,465,557,2473
E02005431,1386,756,565,672,3379
E02005432,1073,663,495,529,2760
E02005433,1078,803,540,562,2983
E02005434,918,506,462,573,2459
E02005435,1043,684,481,482,2690
E02005436,1211,626,512,632,2981
E02005437,731,316,227,307,1581
E02005438,844,488,380,500,2212
E02005439,1446,832,698,953,3929
E02005440,769,420,277,394,1860
E02005441,1498,675,508,589,3270
E02005442,943,220,166,226,1555
E02005443,1252,354,271,386,2263
E02005444,1743,529,404,675,3351
E02005445,1480,303,179,223,2185
E02005446,772,179,110,136,1197
E02005447,674,120,106,241,1141
E02005448,963,276,196,243,1678
E02005449,1027,298,225,320,1870
E02005450,1364,569,416,541,2890
E02005451,1129,260,189,339,1917
E02005452,1775,644,440,630,3489
E02005453,1754,785,604,818,3961
E02005455,2227,804,620,676,4327
E02005456,1568,535,444,633,3180
E02005457,1340,582,458,570,2950
E02005458,1023,564,409,540,2536
E02005459,1396,595,430,502,2923
E02005460,851,270,227,252,1600
E02005461,1079,543,438,553,2613
E02005462,1453,515,376,535,2879
E02005463,1505,481,348,428,2762
E02005464,1497,684,522,646,3349
E02006866,1298,448,348,508,2602
E02006867,1315,514,442,633,2904
E02005465,1281,656,437,595,2969
E02005466,924,543,343,470,2280
E02005467,1024,429,365,660,2478
E02005468,1078,586,375,512,2551
E02005469,1039,510,361,421,2331
E02005470,1259,514,418,717,2908
E02005471,915,479,371,517,2282
E02005472,1191,720,589,789,3289
E02005473,1027,510,432,589,2558
E02005474,921,535,370,462,2288
E02005475,949,419,304,353,2025
E02005476,1236,471,408,461,2576
E02005477,1370,835,598,694,3497
E02005478,1433,587,487,665,3172
E02005479,1423,571,420,539,2953
E02005480,786,284,201,191,1462
E02005481,1435,452,345,549,2781
E02005482,1495,704,447,479,3125
E02005483,1372,523,433,518,2846
E02005484,1013,473,380,386,2252
E02005485,1092,470,375,490,2427
E02005486,1265,495,396,653,2809
E02005487,1310,722,541,605,3178
E02005488,980,460,345,443,2228
E02005489,976,483,315,337,2111
E02005490,880,539,389,538,2346
E02005491,1012,649,545,798,3004
E02005492,1508,713,519,582,3322
E02005493,1721,705,496,594,3516
E02005494,1207,705,534,727,3173
E02005495,1166,457,385,412,2420
E02005496,1091,465,333,308,2197
E02005497,817,346,252,309,1724
E02005498,1247,664,530,582,3023
E02005499,1472,518,400,498,2888
E02005500,1199,486,415,430,2530
E02005501,1420,612,478,636,3146
E02005502,1679,726,551,683,3639
E02005612,778,346,277,327,1728
E02005613,877,364,277,333,1851
E02005614,1163,413,294,341,2211
E02005615,964,448,347,469,2228
E02005616,487,191,143,197,1018
E02005617,1031,357,270,327,1985
E02006862,844,317,211,229,1601
E02006863,1137,217,129,136,1619
E02005619,932,398,282,390,2002
E02005620,1273,476,349,376,2474
E02005621,1089,597,405,511,2602
E02005622,1254,581,430,481,2746
E02005623,1531,607,422,623,3183
E02005624,1000,455,319,316,2090
E02005625,858,506,407,566,2337
E02005626,607,302,196,164,1269
E02005627,1093,524,360,401,2378
E02005628,1265,506,362,391,2524
E02005629,685,450,320,370,1825
E02005630,982,666,528,700,2876
E02005631,1098,604,409,491,2602
E02005632,817,443,323,400,1983
E02005633,940,609,398,451,2398
E02005634,1299,450,303,361,2413
E02005635,1467,540,381,424,2812
E02005636,1720,644,460,535,3359
E02005637,1229,366,266,482,2343
E02005638,1532,655,458,494,3139
E02005639,811,411,288,369,1879
E02005640,1583,673,469,516,3241
E02005641,1144,521,336,318,2319
E02005642,1159,442,339,419,2359
E02005643,884,277,198,228,1587
E02005644,901,184,124,136,1345
E02005645,1598,497,424,740,3259
E02005646,893,481,379,395,2148
E02005647,934,334,278,386,1932
E02005648,1293,487,426,450,2656
E02005649,2507,750,547,654,4458
E02005650,884,372,250,229,1735
E02005651,932,448,364,435,2179
E02005652,938,465,347,495,2245
E02005653,821,261,157,129,1368
E02005654,896,284,173,177,1530
E02005655,911,431,292,458,2092
E02005656,684,207,143,105,1139
E02005657,923,374,297,394,1988
E02005658,735,159,115,147,1156
E02005659,789,307,235,355,1686
E02005660,915,382,200,182,1679
E02005661,805,177,107,187,1276
E02005662,846,271,245,355,1717
E02005663,881,355,211,232,1679
E02005664,735,200,163,297,1395
E02005665,1079,397,246,235,1957
E02005666,816,222,126,177,1341
E02005667,892,327,306,394,1919
E02005668,925,366,321,527,2139
E02005669,942,366,296,403,2007
E02005670,695,144,68,111,1018
E02005671,887,159,125,189,1360
E02005672,676,102,72,81,931
E02005673,767,287,189,291,1534
E02005674,1062,224,163,405,1854
E02005675,701,191,109,142,1143
E02005676,735,220,140,194,1289
E02005677,981,318,226,277,1802
E02005678,1599,486,301,457,2843
E02005679,1092,350,211,264,1917
E02005680,1022,275,191,290,1778
E02005681,1251,588,488,520,2847
E02005682,978,480,358,361,2177
E02005683,1756,712,525,621,3614
E02005684,1069,589,400,449,2507
E02005685,875,515,310,406,2106
E02005686,958,535,391,501,2385
E02005687,582,405,268,306,1561
E02005688,984,552,362,435,2333
E02005689,817,421,290,398,1926
E02005690,447,263,226,297,1233
E02005691,600,434,312,383,1729
E02005692,979,482,365,348,2174
E02005693,927,350,248,344,1869
E02005694,1116,492,331,306,2245
E02005695,900,226,177,249,1552
E02005696,635,216,205,251,1307
E02005697,776,277,215,402,1670
E02005698,693,322,247,326,1588
E02005699,972,274,191,233,1670
E02005700,1507,740,511,559,3317
E02005701,1372,785,524,560,3241
E02005819,1148,358,319,317,2142
E02005820,1158,361,350,336,2205
E02005821,1008,314,252,246,1820
E02005822,1686,322,229,358,2595
E02005823,1166,317,277,466,2226
E02005824,1783,515,416,443,3157
E02005825,1284,406,326,369,2385
E02005826,949,198,166,225,1538
E02005827,1682,379,301,438,2800
E02005828,1318,456,399,345,2518
